feature,importance
wins_w,0.24073656034524796
rank_diff,0.19145101020350405
wins_l,0.11940843649948828
matches_played_l,0.10787888628777209
win_percentage_l,0.08260432743757651
matches_played_w,0.05397384250908235
player2_rank,0.051977444223688996
age_diff,0.03225210795820801
player2_ace,0.022681553861811702
win_percentage_w,0.017411097681211928
player1_rank,0.013776729929173727
player2_ioc,0.010397995684274233
player2_df,0.008621958678016005
player1_ace,0.008409165621752451
player1_rank_points,0.007914952878330469
player2_age,0.007195523207155459
player1_age,0.007050515512694883
player1_ioc,0.00693804734859872
player2_ht,0.003802108194796966
player1_ht,0.003123805169477981
player1_df,0.0020565026547662
player2_rank_points,0.00033742811337112143
player2_seed,0.0
best_of,0.0
tourney_level,0.0
surface,0.0
height_diff,0.0
player1_seed,0.0
